mu_type,bc_weight,neurons,r2,mse,mae,max_error
constant_5000,0.1,10,-0.011000471820271862,7.637871749466285e-05,0.006852195598185062,0.022923927754163742
constant_5000,0.1,100,-0.003172820378629204,7.578735676361248e-05,0.006832050159573555,0.022670773789286613
constant_5000,0.1,1000,0.9574418162971287,3.2151710911421105e-06,0.0013389131054282188,0.006692958064377308
constant_5000,10.0,10,0.08851305923198372,6.886070332257077e-05,0.006485208868980408,0.022837724536657333
constant_5000,10.0,100,0.5202797482970312,3.624174132710323e-05,0.00495108449831605,0.019569462165236473
constant_5000,10.0,1000,0.9790346514140017,1.5838829767744755e-06,0.0008505544392392039,0.004982569254934788
constant_5000,100.0,10,0.1219884137737618,6.633171869907528e-05,0.006362398155033588,0.02330475114285946
constant_5000,100.0,100,0.563308283551752,3.299103627796285e-05,0.0046414281241595745,0.019028710201382637
constant_5000,100.0,1000,0.9805969556348333,1.4658545524071087e-06,0.0008130494970828295,0.004766309633851051
heterogeneous,0.1,10,-0.010928143380970257,7.63732532504946e-05,0.0068520437926054,0.022923853248357773
heterogeneous,0.1,100,0.013958907237669016,7.44930948712863e-05,0.006804196164011955,0.022578591480851173
heterogeneous,0.1,1000,0.6086464893114265,2.9565841032308526e-05,0.0035174766089767218,0.020523615181446075
heterogeneous,10.0,10,0.10194890954042934,6.784565630368888e-05,0.006436888128519058,0.023050161078572273
heterogeneous,10.0,100,0.5481484449241085,3.4136326576117426e-05,0.004781745374202728,0.0185224749147892
heterogeneous,10.0,1000,0.9920852396194966,5.979416073387256e-07,0.0005161531153135002,0.005933159030973911
heterogeneous,100.0,10,0.12219422718892492,6.631616997765377e-05,0.006361689884215593,0.023309750482439995
heterogeneous,100.0,100,0.5631373341779036,3.3003951102728024e-05,0.004641333129256964,0.019005995243787766
heterogeneous,100.0,1000,0.9905520968638157,7.137669513213041e-07,0.0005672458792105317,0.006142580881714821
