mu_type,bc_weight,neurons,mse,r2,relative_l2,correlation,correlation_loss,sobolev,grad_term,max_error
constant_5000,10,100,1.2031250662403181e-05,0.7036264640899723,0.004299740772694349,0.9029896259307861,0.09701037406921387,0.018388177481028833,0.036764323711395264,0.021986158564686775
constant_5000,10,500,8.206817483369377e-07,0.9797836186414507,0.0011229858500882983,0.9940124750137329,0.00598752498626709,0.0025422425010788174,0.005083664320409298,0.004722915589809418
constant_5000,10,1000,7.613011803186964e-07,0.9812463783662486,0.001081596128642559,0.9944314956665039,0.005568504333496094,0.002369638970549204,0.004738516639918089,0.004558096639811993
constant_5000,100,100,1.2666854672716e-05,0.6879692216917512,0.004411855712532997,0.898026704788208,0.10197329521179199,0.028165221648123406,0.0563177764415741,0.02291630394756794
constant_5000,100,500,6.584776315321506e-07,0.9837792969782693,0.0010059060296043754,0.9949383735656738,0.005061626434326172,0.00199633279581235,0.003992007113993168,0.004694792442023754
constant_5000,100,1000,6.340804361570918e-07,0.9843802887838999,0.0009870952926576138,0.9952532052993774,0.004746794700622559,0.00199526075212475,0.003989887423813343,0.00587190967053175
constant_5000,1000,100,1.3229538126324769e-05,0.6741082782683694,0.0045087821781635284,0.8931244611740112,0.10687553882598877,0.030864427382311987,0.06171562522649765,0.022841569036245346
constant_5000,1000,500,8.562611583329272e-06,0.7890716815080837,0.003627354744821787,0.9769917130470276,0.023008286952972412,0.044818614625455666,0.089628666639328,0.008438926190137863
constant_5000,1000,1000,1.6770707134128315e-06,0.9586876384465559,0.0016053235158324242,0.9883829951286316,0.011617004871368408,0.0075567824491145075,0.015111887827515602,0.005991964600980282
heterogeneous,10,100,1.2095400052203331e-05,0.7020462309109767,0.004311188589781523,0.9034295082092285,0.09657049179077148,0.019561759818770952,0.0391114242374897,0.02192370966076851
heterogeneous,10,500,7.806971211721248e-07,0.9807685856799907,0.001095287618227303,0.9944566488265991,0.005543351173400879,0.00220451842395164,0.004408256150782108,0.005533755756914616
heterogeneous,10,1000,7.066037710501405e-07,0.9825937748294191,0.001042017131112516,0.9948456287384033,0.00515437126159668,0.0021130352793363727,0.004225363954901695,0.005410350393503904
heterogeneous,100,100,1.2656545550271403e-05,0.6882231729356216,0.004410059656947851,0.8980050683021545,0.10199493169784546,0.02780969341392847,0.05560673028230667,0.02301958203315735
heterogeneous,100,500,1.196772359435272e-06,0.9705191367217039,0.001356102991849184,0.9908037185668945,0.009196281433105469,0.002902637712907108,0.005804078653454781,0.006326226517558098
heterogeneous,100,1000,9.975519787985831e-07,0.9754266604938703,0.001238096971064806,0.9923932552337646,0.0076067447662353516,0.002406059351415024,0.00481112115085125,0.006150344852358103
heterogeneous,1000,100,1.322706611972535e-05,0.674169172796895,0.004508360754698515,0.8931456208229065,0.1068543791770935,0.030849035109440592,0.06168484315276146,0.02284303680062294
heterogeneous,1000,500,1.5933005670376588e-06,0.9607512023420779,0.0015647168038412929,0.9930842518806458,0.006915748119354248,0.006854205296122018,0.013706817291676998,0.008182210847735405
heterogeneous,1000,1000,9.721904916659696e-07,0.9760514063185848,0.0012222571531310678,0.9925148487091064,0.007485151290893555,0.004967174903299565,0.009933377616107464,0.0052979374304413795
